aX,aY,aZ,gX,gY,gZ
-0.892,-0.568,1.639,90.698,-254.028,-64.209
-0.912,-0.723,1.808,94.788,-220.459,-68.787
-0.952,-0.788,1.735,80.200,-174.194,-69.824
-0.980,-0.722,1.688,64.209,-137.207,-62.012
-0.983,-0.661,1.855,51.392,-155.579,-51.025
-0.983,-0.635,2.241,30.701,-220.947,-43.640
-0.968,-0.632,2.695,9.338,-268.921,-41.870
-0.943,-0.639,3.103,2.014,-264.648,-40.405
-0.880,-0.590,3.309,5.066,-212.646,-29.419
-0.795,-0.443,3.214,17.700,-136.414,-19.287
-0.736,-0.356,2.930,44.373,-73.853,-15.869
-0.692,-0.307,2.677,72.327,-34.912,-14.038
-0.651,-0.277,2.520,78.674,-27.771,-10.620
-0.612,-0.287,2.511,66.284,-40.894,-9.705
-0.580,-0.365,2.592,49.316,-49.744,-13.550
-0.561,-0.445,2.599,39.429,-41.077,-16.418
-0.531,-0.488,2.482,44.189,-16.785,-12.207
-0.497,-0.489,2.293,59.692,7.690,-1.709
-0.461,-0.434,2.092,68.237,23.254,12.268
-0.424,-0.333,1.896,63.232,29.968,24.109
-0.388,-0.258,1.734,51.392,30.701,29.602
-0.363,-0.242,1.634,38.940,25.391,28.564
-0.356,-0.250,1.588,26.733,18.127,25.635
-0.357,-0.248,1.548,17.639,12.146,25.513
-0.352,-0.250,1.518,16.907,10.193,27.527
-0.349,-0.245,1.493,20.142,11.108,29.663
-0.342,-0.214,1.450,17.517,14.832,31.982
-0.340,-0.187,1.385,11.169,19.287,31.738
-0.337,-0.196,1.303,6.287,23.987,28.870
-0.334,-0.206,1.226,2.441,29.419,25.452
-0.326,-0.214,1.151,-1.526,32.532,23.926
-0.324,-0.211,1.091,-4.333,30.579,23.804
-0.315,-0.195,1.050,-3.906,25.391,24.658
-0.308,-0.191,1.024,-0.793,18.921,24.963
-0.300,-0.195,1.032,2.502,15.076,23.315
-0.292,-0.203,1.026,1.953,15.808,19.836
-0.290,-0.242,1.019,0.366,20.691,14.587
-0.292,-0.305,1.000,-0.854,25.269,8.606
-0.282,-0.367,0.971,-3.845,30.334,6.409
-0.274,-0.396,0.920,-7.812,34.546,8.545
-0.262,-0.377,0.884,-11.169,37.109,14.404
-0.243,-0.321,0.847,-12.756,34.180,20.996
-0.226,-0.281,0.827,-10.803,28.076,24.963
-0.219,-0.253,0.834,-7.629,23.987,24.719
-0.211,-0.218,0.828,-9.338,23.499,23.987
-0.214,-0.188,0.822,-12.634,23.926,22.522
-0.210,-0.200,0.822,-13.367,23.132,17.700
-0.208,-0.243,0.829,-11.658,23.193,11.902
-0.207,-0.293,0.817,-10.620,26.001,7.812
-0.214,-0.326,0.781,-10.803,29.541,6.348
-0.211,-0.354,0.755,-9.827,31.982,7.385
-0.209,-0.357,0.728,-8.911,31.067,11.475
-0.209,-0.337,0.722,-10.681,26.367,16.418
-0.213,-0.306,0.743,-13.794,18.127,19.897
-0.211,-0.289,0.783,-16.724,10.681,21.606
-0.200,-0.264,0.808,-20.142,6.958,22.034
