aX,aY,aZ,gX,gY,gZ
-0.423,-0.219,2.350,-5.249,-79.102,-9.521
-0.584,-0.171,2.683,-26.489,-81.238,-8.362
-0.747,-0.167,3.020,-51.331,-75.012,-4.395
-0.880,-0.087,3.272,-75.806,-56.213,-1.099
-0.969,-0.019,3.430,-84.106,-23.376,-3.967
-1.016,-0.025,3.483,-70.068,19.287,-12.756
-1.021,-0.095,3.371,-42.236,75.134,-22.705
-0.972,-0.200,3.059,-9.888,139.404,-29.053
-0.878,-0.270,2.617,23.071,199.402,-31.433
-0.782,-0.351,2.158,52.979,241.943,-30.457
-0.666,-0.398,1.740,67.627,268.372,-23.071
-0.547,-0.378,1.302,63.477,278.320,-10.742
-0.438,-0.363,0.976,54.749,272.583,2.808
-0.324,-0.347,0.712,45.532,259.705,9.094
-0.243,-0.361,0.451,35.583,239.075,7.629
-0.163,-0.432,0.261,26.733,214.783,1.953
-0.105,-0.496,0.105,15.381,197.571,-3.601
-0.061,-0.497,0.008,-0.061,194.702,-1.526
-0.024,-0.431,-0.142,-15.686,198.303,9.705
-0.014,-0.262,-0.407,-21.057,192.566,25.085
0.045,-0.153,-0.531,-6.470,164.490,35.339
0.081,-0.087,-0.610,13.306,138.062,43.396
0.120,-0.011,-0.677,21.667,120.972,48.767
0.140,0.092,-0.758,17.273,110.596,50.476
0.159,0.149,-0.831,8.057,99.609,52.124
0.181,0.187,-0.893,-1.953,82.031,51.331
0.200,0.206,-0.942,-11.963,63.416,49.744
0.213,0.214,-0.971,-20.569,45.593,49.011
0.211,0.246,-0.958,-26.672,26.184,48.645
0.212,0.271,-0.903,-30.396,4.700,50.293
0.200,0.283,-0.788,-34.729,-14.893,56.702
0.161,0.278,-0.635,-43.518,-33.508,67.383
0.180,0.432,-0.509,-53.406,-48.340,73.853
0.195,0.558,-0.395,-53.467,-60.303,64.941
0.195,0.626,-0.232,-38.696,-65.735,41.931
0.178,0.572,-0.121,-20.081,-64.148,21.606
0.174,0.512,-0.080,-8.362,-57.495,10.925
0.183,0.469,-0.062,-0.366,-50.964,8.118
0.182,0.430,-0.029,7.507,-51.636,6.958
0.175,0.379,0.043,13.611,-59.326,4.150
